"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"8251","McQuaid Engineering Ltd","2018-19","5,870","11,740",0,"Northern Ireland","Mid Ulster",28220,"Manufacturing"
"8252","EAE Ltd","2018-19","3,675","10,607",0,"Northern Ireland","Belfast",71129,"Professional, Scientific & Technical Activities"
"8253","Pharmacy Supplies Limited","2018-19","33,298","133,190",0,"Northern Ireland","Mid Ulster",46450,"Wholesale & Retail Trade & Repair of Vehicles"
"8254","Rich Sauces","2018-19","4,704","9,600",0,"Northern Ireland","Ards and North Down",10840,"Manufacturing"
"8255","Haemoband Surgical Ltd","2018-19","9,890","19,780",0,"Northern Ireland","Belfast",32500,"Manufacturing"
"8256","Exploristics Ltd","2018-19","7,350","15,000",0,"Northern Ireland","Belfast",63110,"Information & Communication"
"8257","Stonefit Ltd","2018-19","3,995","7,990",0,"Northern Ireland","Mid Ulster",43390,"Construction"
"8258","Aqualla Brassware Ltd","2018-19","20,500","272,000",5,"Northern Ireland","Ards and North Down",46740,"Wholesale & Retail Trade & Repair of Vehicles"
"8259","Pollock Lifts Limited","2018-19","59,940","188,018",0,"Northern Ireland","Mid and East Antrim",28220,"Manufacturing"
"8260","GD","2018-19","2,695","5,500",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"8261","Foyle International Ltd","2018-19","41,348","136,924",0,"Northern Ireland","Derry City and Strabane",85590,"Education"
"8262","Porsha Bespoke Limited","2018-19","26,000","143,950",4,"Northern Ireland","Fermanagh and Omagh",31090,"Manufacturing"
"8263","Clonallon Laboratories Ltd","2018-19","7,680","19,200",0,"Northern Ireland","Newry, Mourne and Down",21200,"Manufacturing"
"8264","Strickland Ireland Limited","2018-19","7,000","14,000",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"8265","McCrory Engineering","2018-19","4,050","8,100",0,"Northern Ireland","Mid Ulster",28922,"Manufacturing"
"8266","SPE Contracts Ltd","2018-19","25,000","111,396",0,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities"
"8267","Kukoon","2018-19","42,000","372,000",7,"Northern Ireland","Newry, Mourne and Down",47910,"Wholesale & Retail Trade & Repair of Vehicles"
"8268","OBBI Solutions Ltd","2018-19","48,650","139,000",0,"Northern Ireland","Belfast",62090,"Information & Communication"
"8269","Mahlatini Travel","2018-19","1,225","2,450",0,"Northern Ireland","Belfast",79110,"Admin & Support Service Activities"
"8270","Modius Health","2018-19","10,000","27,000",0,"Northern Ireland","Belfast",32500,"Manufacturing"
"8271","ACOMCO Limited","2018-19","82,500","250,000",0,"Northern Ireland","Belfast",55209,"Accommodation & Food Service Activities"
"8272","The Smartlittlelunch Co. Ltd","2018-19","4,969","9,938",0,"Northern Ireland","Newry, Mourne and Down",22290,"Manufacturing"
"8273","InnovateXL","2018-19","10,000","20,000",0,"Northern Ireland","Mid and East Antrim",62012,"Information & Communication"
"8274","Hamilton Erskine Ltd","2018-19","20,604","68,680",1,"Northern Ireland","Ards and North Down",23110,"Manufacturing"
"8275","Solmatix ","2018-19","3,409","9,783",0,"Northern Ireland","Antrim and Newtownabbey",35110,"Electricity, Gas, Steam & Air Conditioning Supply"
"8276","BLK Box","2018-19","7,450","14,900",0,"Northern Ireland","Belfast",93190,"Arts, Entertainment & Recreation"
"8277","Selazar.com","2018-19","7,350","15,000",0,"Great Britain","Belfast",58290,"Information & Communication"
"8278","O4 Research Limited","2018-19","15,000","36,000",0,"Northern Ireland","Belfast",72190,"Professional, Scientific & Technical Activities"
"8279","Axial3D","2018-19","14,700","30,000",0,"Northern Ireland","Belfast",32500,"Manufacturing"
"8280","McAuley Precision Limited","2018-19","1,870","5,150",0,"Northern Ireland","Causeway Coast and Glens",25620,"Manufacturing"
"8281","Video First Software Ltd","2018-19","6,720","16,800",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"8282","Connected Health Limited","2018-19","17,800","49,000",0,"Northern Ireland","Belfast",86102,"Human & Social Work Activities"
"8283","Autofloodguard","2018-19","10,000","21,158",0,"Northern Ireland","Mid Ulster",32990,"Manufacturing"
"8284","Locate a Locum","2018-19","3,000","6,000",0,"Northern Ireland","Belfast",63120,"Information & Communication"
"8285","MSM Promotions","2018-19","1,542","3,084",0,"Northern Ireland","Lisburn and Castlereagh",74100,"Professional, Scientific & Technical Activities"
"8286","A & N Shilliday & Co Ltd","2018-19","17,313","57,505",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"8287","Botanica International Limited","2018-19","1,375","2,750",0,"Northern Ireland","Newry, Mourne and Down",21200,"Manufacturing"
"8288","McCauley Trailers Ltd","2018-19","5,880","12,000",0,"Northern Ireland","Antrim and Newtownabbey",29202,"Manufacturing"
"8289","Elite Security N.I. Ltd","2018-19","6,367","18,862",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",80200,"Admin & Support Service Activities"
"8290","AuditComply","2018-19","9,360","18,720",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"8291","Instil Software Ltd","2018-19","5,390","11,000",0,"Northern Ireland","Belfast",62010,"Information & Communication"
"8292","John J. Higgins (Magherafelt) Limited","2018-19","3,796","7,592",0,"Northern Ireland","Mid Ulster",32990,"Manufacturing"
"8293","Securibar Innovation Limited","2018-19","3,125","6,250",0,"Northern Ireland","Lisburn and Castlereagh",31090,"Manufacturing"
"8294","Tascomi","2018-19","5,981","18,849",0,"Northern Ireland","Lisburn and Castlereagh",62012,"Information & Communication"
"8295","J.M.G. Systems Ltd","2018-19","1,569","3,137",0,"Northern Ireland","Fermanagh and Omagh",26512,"Manufacturing"
"8296","The Brunch Box","2018-19","3,900","13,000",0,"Northern Ireland","Lisburn and Castlereagh",10890,"Manufacturing"
"8297","Performa Sports Ltd","2018-19","350","700",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",62012,"Information & Communication"
"8298","Moore Concrete Products Limited","2018-19","24,570","66,565",0,"Northern Ireland","Mid and East Antrim",23610,"Manufacturing"
"8299","Re-Vana Therapeutics Ltd","2018-19","7,056","14,400",0,"Northern Ireland","Belfast",21200,"Manufacturing"
"8300","M Donnelly Electrical Ltd","2018-19","11,025","22,500",0,"Northern Ireland","Fermanagh and Omagh",43210,"Construction"
"8301","Patton Electricial Limited","2018-19","9,840","34,420",1,"Northern Ireland","Causeway Coast and Glens",43210,"Construction"
"8302","White Ink Architects Limited","2018-19","36,363","121,210",1,"Northern Ireland","Belfast",71111,"Professional, Scientific & Technical Activities"
"8303","NI Climbing Frames","2018-19","84,000","542,400",14,"Northern Ireland","Armagh City, Banbridge and Craigavon",25110,"Manufacturing"
"8304","CBD Powerwashers Ltd","2018-19","30,000","289,000",4,"Northern Ireland","Mid Ulster",25300,"Manufacturing"
"8305","Firemelon Ltd","2018-19","70,190","771,900",8,"Northern Ireland","Belfast",62090,"Information & Communication"
"8306","A1 Solutions (NI) Limited","2018-19","3,925","7,850",0,"Northern Ireland","Belfast",74100,"Professional, Scientific & Technical Activities"
"8307","White Ink Architects Limited","2018-19","7,510","18,774",0,"Northern Ireland","Belfast",71111,"Professional, Scientific & Technical Activities"
"8308","Made to Engage","2018-19","14,700","30,000",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"8309","Francis Dinsmore, Limited","2018-19","96,000","480,000",0,"Northern Ireland","Mid and East Antrim",13300,"Manufacturing"
"8310","Kairos Sports Tech Ltd","2018-19","48,000","415,000",6,"Northern Ireland","Causeway Coast and Glens",62012,"Information & Communication"
"8311","Silotank","2018-19","11,876","28,616",0,"Northern Ireland","Belfast",25290,"Manufacturing"
"8312","SDG Construction Technology Ltd","2018-19","1,960","4,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",22230,"Manufacturing"
"8313","Nibble & Gnaw","2018-19","22,000","258,000",4,"Northern Ireland","Belfast",1629,"Agriculture, Forestry & Fishing"
"8314","Design in Safety Ltd.","2018-19","6,000","20,000",0,"Northern Ireland","Newry, Mourne and Down",74100,"Professional, Scientific & Technical Activities"
"8315","OLY Clothing Ltd","2018-19","1,920","4,800",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",46420,"Wholesale & Retail Trade & Repair of Vehicles"
"8316","McAllister Bros Limited","2018-19","90,000","934,000",20,"Northern Ireland","Newry, Mourne and Down",81229,"Admin & Support Service Activities"
"8317","Islander Kelp Ltd","2018-19","1,925","3,850",0,"Northern Ireland","Causeway Coast and Glens",10200,"Manufacturing"
"8318","Xerofone Ltd","2018-19","4,875","9,750",0,"Northern Ireland","Ards and North Down",62012,"Information & Communication"
"8319","McAuley Fabrication Limited","2018-19","14,700","30,000",0,"Northern Ireland","Causeway Coast and Glens",25110,"Manufacturing"
"8320","Sentireal Limited","2018-19","4,410","9,000",0,"Northern Ireland","Lisburn and Castlereagh",62020,"Information & Communication"
"8321","Exact CNC (NI) Ltd","2018-19","3,504","7,150",0,"Northern Ireland","Newry, Mourne and Down",25620,"Manufacturing"
"8322","DR Gates & Railings","2018-19","10,000","20,090",0,"Northern Ireland","Causeway Coast and Glens",25990,"Manufacturing"
"8323","Boundary Brewing","2018-19","49,261","125,762",0,"Northern Ireland","Belfast",11050,"Manufacturing"
"8324","Pearlai Ltd","2018-19","7,975","15,950",0,"Northern Ireland","Newry, Mourne and Down",63110,"Information & Communication"
"8325","Uni Baggage Ltd","2018-19","75,000","322,500",10,"Northern Ireland","Belfast",50100,"Transportation & Storage"
"8326","Just Live A Little Limited","2018-19","8,820","18,000",0,"Northern Ireland","Ards and North Down",10611,"Manufacturing"
"8327","Viltra","2018-19","7,135","14,560",0,"Northern Ireland","Newry, Mourne and Down",36000,"Water Supply, Sewerage, Waste Management & Remediation Activities"
"8328","Jackson Reece Ltd","2018-19","7,350","15,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",17220,"Manufacturing"
"8329","Easability Showers Limited","2018-19","10,000","20,719",0,"Northern Ireland","Lisburn and Castlereagh",22290,"Manufacturing"
"8330","Capitol Essentials","2018-19","7,350","15,000",0,"Northern Ireland","Lisburn and Castlereagh",46499,"Wholesale & Retail Trade & Repair of Vehicles"
"8331","Sulis Technologies Limited","2018-19","14,700","30,000",0,"Northern Ireland","Belfast",32990,"Manufacturing"
"8332","Lock-A-Block (N.I) Ltd","2018-19","2,250","4,500",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",71129,"Professional, Scientific & Technical Activities"
"8333","Lowden Guitars","2018-19","3,528","7,200",0,"Northern Ireland","Newry, Mourne and Down",32200,"Manufacturing"
"8334","MVMS","2018-19","7,296","34,127",0,"Northern Ireland","Newry, Mourne and Down",25990,"Manufacturing"
"8335","Nonglak McFadden Ltd","2018-19","2,750","5,500",0,"Northern Ireland","Causeway Coast and Glens",82990,"Admin & Support Service Activities"
"8336","DS Refrigeration","2018-19","3,184","7,960",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",33200,"Manufacturing"
"8337","Lithe IT","2018-19","25,800","272,000",4,"Great Britain","Derry City and Strabane",62090,"Information & Communication"
"8338","INCISIV","2018-19","2,268","4,536",0,"Northern Ireland","Belfast",58290,"Information & Communication"
"8339","National Building Services","2018-19","10,000","20,750",0,"Northern Ireland","Newry, Mourne and Down",43999,"Construction"
"8340","Xerofone Ltd","2018-19","9,750","19,500",0,"Northern Ireland","Ards and North Down",62012,"Information & Communication"
"8341","Kinsetsu","2018-19","6,275","12,550",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"8342","Peninsula Print & Design Limited","2018-19","2,974","10,595",0,"Northern Ireland","Ards and North Down",18129,"Manufacturing"
"8343","Revive Express Beauty Ltd","2018-19","2,352","4,800",0,"Northern Ireland","Mid Ulster",47750,"Wholesale & Retail Trade & Repair of Vehicles"
"8344","Q Review Limited","2018-19","850","1,700",0,"Northern Ireland","Causeway Coast and Glens",73200,"Professional, Scientific & Technical Activities"
"8345","Lance Lab Ltd","2018-19","4,200","8,400",0,"Northern Ireland","Ards and North Down",28990,"Manufacturing"
"8346","Name cannot be released","2018-19","5,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",10390,"Manufacturing"
"8347","With Love Recipes","2018-19","15,600","135,808",3,"Northern Ireland","Derry City and Strabane",10710,"Manufacturing"
"8348","IMS","2018-19","14,850","49,500",1,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"8349","NPC (NI) Ltd","2018-19","1,510","3,020",0,"Northern Ireland","Belfast",52219,"Transportation & Storage"
"8350","The Electric Storage Company","2018-19","20,500","20,500",0,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities"
"8351","Silform Technologies Ltd","2018-19","10,000","21,000",0,"Northern Ireland","Belfast",19201,"Manufacturing"
"8352","P.M. Engineering Ltd","2018-19","48,000","232,000",8,"Northern Ireland","Mid Ulster",25620,"Manufacturing"
"8353","Dawson Andrews Ltd","2018-19","48,300","531,000",6,"Northern Ireland","Belfast",62010,"Information & Communication"
"8354","Pollock Lifts Limited","2018-19","13,354","45,785",0,"Northern Ireland","Mid and East Antrim",28220,"Manufacturing"
"8355","Heaney Brewing Company Limited","2018-19","27,852","69,905",0,"Northern Ireland","Belfast",11050,"Manufacturing"
"8356","Galaxy Facilities Management Ltd","2018-19","6,000","12,000",0,"Northern Ireland","Fermanagh and Omagh",43999,"Construction"
"8357","BD Contracts","2018-19","3,750","7,500",0,"Northern Ireland","Fermanagh and Omagh",43999,"Construction"
"8358","Woodcraft (NI) Ltd","2018-19","8,411","27,898",0,"Northern Ireland","Mid Ulster",16290,"Manufacturing"
"8359","Senergy Innovations Limited","2018-19","1,750","3,500",0,"Northern Ireland","Lisburn and Castlereagh",43910,"Construction"
"8360","Signifyd","2018-19","981,500","9,414,756",151,"United States Of America","Belfast",62010,"Information & Communication"
"8361","The Print Factory","2018-19","2,900","7,250",0,"Northern Ireland","Fermanagh and Omagh",18129,"Manufacturing"
"8362","Carrageen Rose Skincare","2018-19","4,000","10,000",0,"Northern Ireland","Derry City and Strabane",20411,"Manufacturing"
"8363","Boyce Precision Engineering Ltd","2018-19","12,562","31,404",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",71129,"Professional, Scientific & Technical Activities"
"8364","Northway Mushrooms Ltd","2018-19","3,750","7,500",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing"
"8365","Digital DNA","2018-19","17,870","50,535",0,"Northern Ireland","Newry, Mourne and Down",82301,"Admin & Support Service Activities"
